date;knn_class_literal;knn_result;knn_score;title;url
01/23/2019;culture;1;0.94;El club de Los Pueblos más Bonitos de España suma 11 nuevos miembros;https://elpais.com/elviajero/2019/01/23/album/1548234230_079641.html
01/23/2019;culture;1;1.53;Los evangelistas robados vuelven a Burgos;https://elpais.com/cultura/2019/01/23/actualidad/1548235405_303244.html
01/23/2019; ;-1;3.03;La Rioja, una de las comunidades más envejecidas de España;https://www.eldiario.es/la-rioja/la-rioja-una-de-las-comunidades-mas-envejecidas-de-espana_1_11127807.html
01/24/2019;feminism;4;0.98;El cura que abusó de varias generaciones de niños;https://elpais.com/sociedad/2019/01/24/actualidad/1548349894_410156.html
01/27/2019; ;-1;1.41;Feijóo se reúne este lunes con los presidentes de Asturias y Castilla y León para impulsar el Corredor Atlántico;https://www.eldiario.es/politica/feijoo-asturias-castilla-corredor-atlantico_1_1727612.html
01/28/2019;culture;1;1.13;Piedras sublimes en una refinada ruta soriana;https://elpais.com/elviajero/2019/01/28/actualidad/1548674680_059445.html
01/28/2019; ;-1;1.24;Galicia, Asturias y Castilla y León reclaman 3.100 millones para su red ferroviaria de mercancías;https://elpais.com/economia/2019/01/28/actualidad/1548688822_037813.html
01/28/2019; ;-1;2.44;Los presidentes de Castilla y León, Galicia y Asturias se reúnen este lunes para impulsar el Corredor Atlántico;https://www.eldiario.es/politica/castilla-galicia-asturias-corredor-atlantico_1_1728520.html
01/29/2019; ;-1;1.50;La Rioja, entre las comunidades que menos fisioterapeutas tiene en la sanidad pública;https://www.eldiario.es/la-rioja/la-rioja-entre-las-comunidades-que-menos-fisioterapeutas-tiene-en-la-sanidad-publica_1_11128137.html
01/30/2019;poor;6;0.71;Castilla y León rechaza la contratación sin MIR y estudia otras alternativas;https://www.eldiario.es/politica/castilla-leon-contratacion-mir-alternativas_1_1725333.html
01/30/2019; ;-1;1.09;Castilla y León retira su propuesta de contratar a médicos sin MIR;https://elpais.com/sociedad/2019/01/30/actualidad/1548844232_639228.html
01/30/2019; ;-1;1.15;Castilla y León no contratará a los alumnos que no hayan obtenido el MIR;https://www.eldiario.es/politica/castilla-leon-contratara-obtenido-mir_1_1724545.html
01/30/2019;feminism;4;1.16;Un artesano burgalés revoluciona los espectáculos de Beyoncé, Lady Gaga y Madonna;https://elpais.com/elpais/2019/01/30/eps/1548863196_694372.html
01/30/2019; ;-1;1.48;"Galicia y Castilla y León piden una Conferencia de Presidentes ""cuanto antes"" para abordar la financiación autonómica";https://www.eldiario.es/politica/galicia-castilla-leon-conferencia-presidentes_1_1723012.html
01/31/2019;feminism;4;0.99;Castilla y León insiste en la aplicación de la prisión permanente revisable;https://www.eldiario.es/politica/castilla-leon-aplicacion-permanente-revisable_1_1722456.html
01/31/2019; ;-1;2.09;La Policía investiga el ‘cambiazo’ masivo de ataúdes en tanatorios de Valladolid;https://elpais.com/politica/2019/01/31/actualidad/1548924925_259545.html
02/01/2019;environment;8;0.98;Internet de las cosas para un medio rural inteligente en Castilla y León;https://elpais.com/retina/2019/02/01/innovacion/1549006535_079664.html
02/01/2019;politics;3;1.06;"El juez imputa a seis ex altos cargos del Gobierno de Castilla y León por adjudicar un edificio sin ""objetividad ni transparencia""";https://www.eldiario.es/politica/perla-negra-consejeria-economia-castilla_1_2737124.html
02/01/2019; ;-1;1.17;El diablo estuvo aquí antes;https://elpais.com/elpais/2019/02/01/opinion/1549036101_902501.html
02/01/2019; ;-1;1.88;¡Firmes!, vuelve la mili;https://elpais.com/ccaa/2019/02/01/catalunya/1549042202_433335.html
02/01/2019; ;-1;1.92;El fraude de los ataúdes de Valladolid afectó a “miles de personas” durante 20 años;https://elpais.com/politica/2019/02/01/actualidad/1549021839_637511.html
02/01/2019; ;-1;1.98;El leonés que lleva el palillo de dientes hasta en la foto del DNI;https://elpais.com/politica/2019/02/01/diario_de_espana/1549033520_863787.html
02/01/2019; ;-1;2.08;‘¡Firmes!’, torna la mili;https://elpais.com/cat/2019/02/01/opinion/1549042202_433335.html
02/02/2019; ;-1;1.45;Un nuevo detenido por el fraude de los ataúdes en Valladolid;https://elpais.com/politica/2019/02/02/actualidad/1549135620_184179.html
02/02/2019; ;-1;5.44;El abandono del tren, un problema más allá de Extremadura;https://elpais.com/economia/2019/02/02/actualidad/1549093122_615623.html
02/03/2019; ;-1;1.12;Valdezcaray registra una de las temperaturas más bajas de toda España;https://www.eldiario.es/la-rioja/valdezcaray-registra-una-de-las-temperaturas-mas-bajas-de-toda-espana_1_11128419.html
02/04/2019;environment;8;0.74;Así es el láser capaz de disparar 3.000 veces la potencia de la red eléctrica española;https://elpais.com/retina/2019/02/04/innovacion/1549275443_152466.html
02/04/2019;press;7;0.79;La Rioja vuelve a elegir Telecinco en enero;https://www.eldiario.es/la-rioja/la-rioja-vuelve-a-elegir-telecinco-en-enero_1_11128486.html
02/05/2019;poor;6;0.61;Dos empresas de La Rioja expedientadas por no pagar la uva a tiempo a los viticultores;https://www.eldiario.es/la-rioja/dos-empresas-de-la-rioja-expedientadas-por-no-pagar-la-uva-a-tiempo-a-los-viticultores_1_11128548.html
02/05/2019; ;-1;1.30;El Constitucional ordena a las Cortes de Castilla y León reabrir la investigación sobre varios casos de corrupción;https://www.eldiario.es/eldiario-es/socios/constitucional-cortes-castilla-leon-investigacion_1_1712355.html
02/05/2019; ;-1;1.32;Ocho detenidos por intercambiar pornografía infantil a través de Internet;https://elpais.com/sociedad/2019/02/05/actualidad/1549359234_903677.html
02/06/2019;feminism;4;1.12;La juez calcula que pudieron ser 6.000 los ataúdes cambiados en Valladolid;https://elpais.com/politica/2019/02/06/actualidad/1549448760_384542.html
02/07/2019; ;-1;6.36;Resotel, el espíritu de la carretera;https://elpais.com/elviajero/2019/02/07/actualidad/1549532865_807434.html
02/13/2019; ;-1;3.37;Salen a la venta en La Rioja 100 viviendas para personas solteras por 66.000 euros;https://www.eldiario.es/la-rioja/salen-a-la-venta-en-la-rioja-100-viviendas-para-personas-solteras-por-66-000-euros_1_11128999.html
02/14/2019; ;-1;2.03;¿Pizza para San Valentín? Los riojanos somos los que más recurrimos a Telepizza en este día;https://www.eldiario.es/la-rioja/pizza-para-san-valentin-los-riojanos-somos-los-que-mas-recurrimos-a-telepizza-en-este-dia_1_11129051.html
02/16/2019;culture;1;1.48;FC Barcelona - R. Valladolid CF, LaLiga Santander en imágenes;https://elpais.com/elpais/2019/02/16/album/1550340825_290449.html
02/16/2019; ;-1;3.64;El millonario cambiazo de los ataúdes, en 26 libretas;https://elpais.com/politica/2019/02/16/actualidad/1550284233_659540.html
02/17/2019; ;-1;1.19;Esclavos búlgaros entre naranjos;https://elpais.com/economia/2019/02/17/actualidad/1550415591_995863.html
02/18/2019; ;-1;1.35;El Parlamento de Castilla y León ventilará en dos meses los grandes casos de corrupción tras dos años de boicot del PP;https://www.eldiario.es/politica/gobierno-herrera-constitucional-reactivarla-cortes_1_1689279.html
02/20/2019;feminism;4;1.06;El colegio San Pío X, ejemplo educativo para profesores de Asturias, Galicia y Castilla y León;https://www.eldiario.es/la-rioja/el-colegio-san-pio-x-ejemplo-educativo-para-profesores-de-asturias-galicia-y-castilla-y-leon_1_11129358.html
02/20/2019;culture;1;1.55;"Castilla y León apunta que ""se juega su futuro"" en que el Corredor Atlántico sea considerado Corredor Transeuropeo";https://www.eldiario.es/politica/castilla-leon-corredor-atlantico-transeuropeo_1_1689849.html
02/21/2019;feminism;4;0.75;La presidenta de las Cortes de Castilla y León, Silvia Clemente, dimite de sus cargos y deja el PP;https://www.eldiario.es/politica/cortes-castilla-silvia-clemente-pp_1_1688552.html
02/21/2019;poor;6;0.90;La policía detiene a otros diez trabajadores de la funeraria de Valladolid;https://elpais.com/politica/2019/02/21/actualidad/1550750331_886407.html
02/21/2019;feminism;4;0.94;La foto que precipitó la renuncia de la presidenta de las Cortes de Castilla y León: se reunió con Ciudadanos para ser su candidata;https://www.eldiario.es/politica/cortes-castilla-leon-pp-ciudadanos_1_1685284.html
02/21/2019;politics;3;1.09;La presidenta de las Cortes de Castilla y León dimite y deja el PP con críticas al líder autonómico;https://elpais.com/politica/2019/02/21/actualidad/1550768157_256277.html
02/22/2019;environment;8;0.67;Detectado un caso del mal de las ‘vacas locas’ en una granja de Zamora;https://elpais.com/sociedad/2019/02/22/actualidad/1550855023_535389.html
02/22/2019; ;-1;1.13;Las consecuencias del procés: 16 empresas se trasladaron de Cataluña a La Rioja en 2018;https://www.eldiario.es/la-rioja/las-consecuencias-del-proces-16-empresas-se-trasladaron-de-cataluna-a-la-rioja-en-2018_1_11129506.html
02/23/2019;politics;3;1.09;División, corrupción y dimisiones en bloque: a Pablo Casado se le incendia el PP de Castilla y León;https://www.eldiario.es/politica/hundimiento-pp-castilla-leon-corrupcion_1_1683560.html
02/24/2019;politics;3;0.73;Francisco Igea luchará por la candidatura de Cs para Castilla y León frente a la opción de la expresidenta de las Cortes;https://www.eldiario.es/politica/ciudadanos-francisco-igea-cortes-castilla_1_1679371.html
02/24/2019;politics;3;1.03;Ciudadanos aprueba una excepción para que la expresidenta de las Cortes de Castilla y León compita en sus primarias tras dejar el PP;https://www.eldiario.es/politica/cortes-castilla-silvia-clemente-ciudadanos_1_1677275.html
02/25/2019;feminism;4;0.81;Silvia Clemente, el fichaje de Ciudadanos para Castilla y León: 20 años en la política plagados de polémicas;https://www.eldiario.es/politica/silvia-clemente-ciudadanos-castilla-leon_1_1677713.html
02/25/2019;politics;3;1.01;Rivera ficha a excargos del PP y el PSOE para las listas de Ciudadanos;https://elpais.com/politica/2019/02/25/actualidad/1551077734_981005.html
02/25/2019; ;-1;1.08;Las oposiciones de Auxiliar de Enfermería se adelantan un día por las elecciones;https://www.eldiario.es/la-rioja/las-oposiciones-de-auxiliar-de-enfermeria-se-adelantan-un-dia-por-las-elecciones_1_11129620.html
02/25/2019; ;-1;1.19;El Consejo General de Ciudadanos avala sin unanimidad a Silvia Clemente como candidata en Castilla y León;https://www.eldiario.es/politica/consejo-general-ciudadanos-clemente-castilla_1_1675831.html
02/25/2019; ;-1;1.20;Podemos arranca este sábado la precampaña con actos en Cataluña y Castilla y León y rivalizando con Ciudadanos;https://www.eldiario.es/politica/podemos-cataluna-castilla-leon-ciudadanos_1_1680404.html
02/26/2019;feminism;4;0.74;"Ciudadanos presenta a Silvia Clemente ante la militancia como ""aire fresco"" para Castilla y León";https://www.eldiario.es/politica/ciudadanos-silvia-clemente-castilla-leon_1_1677367.html
02/26/2019;feminism;4;0.75;Silvia Clemente, un ‘Panzer’ en la política;https://elpais.com/politica/2019/02/26/actualidad/1551204756_015161.html
02/27/2019; ;-1;1.08;La justicia suspende de forma cautelar la caza en Castilla y León;https://elpais.com/sociedad/2019/02/27/actualidad/1551285204_422530.html
02/27/2019;culture;1;1.25;Un banquete poético en la Casa de la Moneda de Segovia;https://elpais.com/cultura/2019/02/27/actualidad/1551279905_238090.html
02/27/2019; ;-1;1.82;La vacunación obligatoria en las escuelas infantiles se abre paso en España;https://elpais.com/sociedad/2019/02/27/actualidad/1551287158_737804.html
02/28/2019;environment;8;0.98;Cantariña Viña de los Pinos 2017, fresco paisaje silvestre;https://elpais.com/elviajero/2019/02/28/actualidad/1551347183_962436.html
02/28/2019;feminism;4;1.02;La Justicia rastrea las ayudas millonarias que Silvia Clemente dio a su marido: varios expedientes han desaparecido de la Junta de Castilla y Léon;https://www.eldiario.es/castilla-y-leon/politica/desaparicion-silvia-clemente-junta-fiscalia_1_1678852.html
02/28/2019; ;-1;1.07;La Rioja, tercera comunidad que mejor atiende a las personas dependientes;https://www.eldiario.es/la-rioja/la-rioja-tercera-comunidad-que-mejor-atiende-a-las-personas-dependientes_1_11129819.html
02/28/2019;culture;1;1.12;Zamora, tapas y modernismo;https://elpais.com/elviajero/2019/02/28/actualidad/1551347287_874438.html
02/28/2019; ;-1;1.39;eldiario.es lanza su nueva edición en Castilla y León;https://www.eldiario.es/redaccion/lanzamos-nueva-edicion-castilla-leon_132_1673496.html
02/28/2019; ;-1;1.45;Una pediatra para 1.200 niños;https://elpais.com/sociedad/2019/02/28/actualidad/1551387263_750096.html
03/01/2019;environment;8;0.87;Autobuses gratis contra el ‘asesino invisible’ de la contaminación;https://elpais.com/sociedad/2019/03/01/actualidad/1551439425_100544.html
03/01/2019;politics;3;0.95;Otra fuga en el PP de Castilla y León: el presidente de la Diputación de Ávila se va como independiente;https://www.eldiario.es/castilla-y-leon/politica/pp-partido-popular-avila-jesus-manuel-sanchez-cabrera-por-avila_1_1673230.html
03/03/2019;feminism;4;1.18;Fallece un detenido en los calabozos de la comisaría de Policía en Soria tras serle administrado un sedante;https://elpais.com/politica/2019/03/03/actualidad/1551604610_869503.html
03/04/2019;feminism;4;0.64;Podemos respalda a su candidata que cumplió condena por colaborar en un homicidio;https://elpais.com/politica/2019/03/04/actualidad/1551720536_311765.html
03/04/2019;poor;6;0.74;Castilla y León sigue con más de 150.000 parados en febrero, a pesar del repunte en la construcción;https://www.eldiario.es/castilla-y-leon/economia/paro-castilla-y-leon-febrero-economia-desempleo_1_1670755.html
03/04/2019; ;-1;1.17;La recuperación no mejora la imagen de los bancos, el sector peor valorado en Castilla y León;https://www.eldiario.es/castilla-y-leon/sociedad/recuperacion-institucion-valorada-castilla-leon_1_1667713.html
03/04/2019; ;-1;1.75;"AUDIO | Un consejero de Castilla y León ofreció obras sin concurso a José Luis Ulibarri: ""Yo soy la Administración""";https://www.eldiario.es/castilla-y-leon/audio-fomento-castila-leon-enredadera_1_1668602.html
03/05/2019;politics;3;0.40;Pedro Sánchez inicia gira en Castilla y León en plena tensión por la elaboración de listas;https://www.eldiario.es/castilla-y-leon/politica/pedro-sanchez-inicia-gira-en-castilla-y-leon-en-plena-tension-por-la-elaboracion-de-listas_1_1669176.html
03/05/2019;politics;3;0.89;Presidente por la mañana, candidato por la tarde;https://elpais.com/politica/2019/03/05/actualidad/1551810309_615469.html
03/05/2019;politics;3;1.09;"La unión Podemos-IU encalla en Castilla y León y Sarrión ya medita otra ""alianza de izquierdas""";https://www.eldiario.es/castilla-y-leon/politica/la-union-podemos-iu-encalla-en-castilla-y-leon-y-sarrion-ya-medita-otra-alianza-de-izquierdas_1_1667699.html
03/06/2019;politics;3;0.73;Ciudadanos: Clemente es el plus que necesitamos para gobernar Castilla y León;https://www.eldiario.es/politica/ciudadanos-clemente-necesitamos-castilla-leon_1_1666041.html
03/06/2019;culture;1;0.95;Castilla y León reclama al Gobierno 9 millones de euros para financiar la Ley de la Dependencia;https://www.eldiario.es/castilla-y-leon/sociedad/castilla-leon-gobierno-ley-dependencia_1_1663055.html
03/06/2019; ;-1;3.91;Nuevo varapalo judicial a la caza en Castilla y León;https://elpais.com/sociedad/2019/03/06/actualidad/1551899841_500944.html
03/07/2019;feminism;4;0.97;El PP de Castilla y León rechaza participar en la manifestación del 8 de Marzo;https://www.eldiario.es/castilla-y-leon/politica/pp-castilla-leon-manifestacion-marzo_1_1663000.html
03/07/2019;feminism;4;1.06;La Junta de Castilla y León se desmarca de los contratos realizados por Silvia Clemente y niega una persecución política contra ella;https://www.eldiario.es/castilla-y-leon/junta-castilla-leon-silvia-clemente_1_1664714.html
03/07/2019; ;-1;1.84;Duelo naranja en Castilla y León;https://elpais.com/politica/2019/03/07/actualidad/1551969974_160089.html
03/07/2019; ;-1;2.14;El TSJ tumba también la Orden de Caza de Castilla y León e impide la última posibilidad legal de mantener la actividad;https://www.eldiario.es/castilla-y-leon/el_campo/tsj-orden-caza-castilla-leon_1_1669117.html
03/07/2019; ;-1;4.71;El CIBIR se suma a la campaña 'Stop fuga de cerebros' para evitar la pérdida de talento investigador en La Rioja;https://www.eldiario.es/la-rioja/el-cibir-se-suma-a-la-campana-stop-fuga-de-cerebros-para-evitar-la-perdida-de-talento-investigador-en-la-rioja_1_11130245.html
03/08/2019;feminism;4;0.80;Castilla y León se vuelve a sumar con movilizaciones masivas a la lucha feminista por la igualdad;https://www.eldiario.es/castilla-y-leon/sociedad/el-morado-feminista-concita-a-castilla-y-leon-en-torno-a-una-meta-comun-igualdad_1_1660295.html
03/08/2019;feminism;4;0.90;La marea morada del 8 de Marzo toma las calles y las instituciones de toda Castilla y León;https://www.eldiario.es/castilla-y-leon/sociedad/la-marea-morada-del-8-de-marzo-toma-las-calles-y-las-instituciones-de-toda-castilla-y-leon_1_1664553.html
03/08/2019;politics;3;1.06;La oposición somete a Herrera a examen en el penúltimo pleno de la legislatura en Castilla y León;https://www.eldiario.es/castilla-y-leon/politica/oposicion-herrera-legislatura-castilla-leon_1_1663282.html
03/08/2019; ;-1;1.46;Rivera prioriza fichar independientes más que “reciclajes” de otros partidos;https://elpais.com/politica/2019/03/08/actualidad/1552062604_837919.html
03/09/2019;feminism;4;0.90;Rivera no tiene rivales y su candidata gana el pulso en Castilla y León;https://www.eldiario.es/politica/rivera-rivales-candidata-castilla-leon_1_1659008.html
03/09/2019;politics;3;0.92;Sánchez contrapone el 8 de marzo a la alianza de PP, Cs y Vox en Colón;https://elpais.com/politica/2019/03/09/actualidad/1552128084_321973.html
03/09/2019;politics;3;1.08;Silvia Clemente gana por 35 votos las primarias de Ciudadanos para ser la candidata a la Junta de Castilla y León;https://www.eldiario.es/castilla-y-leon/silvia-clemente-ajustadas-ciudadanos-junta_1_1660211.html
03/09/2019; ;-1;1.10;“Claro que me arrepiento, cómo no voy a hacerlo”;https://elpais.com/politica/2019/03/09/actualidad/1552162017_327251.html
03/09/2019; ;-1;1.11;Las heridas del Partido Popular en Castilla y León: fugas, cartas a Casado y nuevos proyectos;https://www.eldiario.es/castilla-y-leon/las-heridas-del-partido-popular-en-castilla-y-leon-fugas-cartas-a-casado-y-nuevos-proyectos-de-los-huidos-del-pp_1_1660693.html
03/09/2019; ;-1;1.23;La candidatura de Silvia Clemente a la Junta de Castilla y León complica la campaña de PP y PSOE;https://www.eldiario.es/castilla-y-leon/silvia-clemente-castilla-pp-psoe_1_1157211.html
03/10/2019;politics;3;1.05;IUCyL ratifica a José Sarrión como candidato a la Presidencia de la Junta de Castilla y León;https://www.eldiario.es/castilla-y-leon/iucyl-sarrion-presidencia-junta-castilla_1_1656973.html
03/10/2019;feminism;4;1.11;Ciudadanos paraliza la candidatura de Silvia Clemente tras una reclamación de su rival;https://elpais.com/politica/2019/03/10/actualidad/1552231642_827972.html
03/11/2019;politics;3;0.91;El PSOE destaca la debilidad de Ciudadanos en Navarra y Castilla y León;https://www.eldiario.es/politica/psoe-ciudadanos-navarra-castilla-leon_1_1655327.html
03/11/2019;feminism;4;0.97;La candidatura de Silvia Clemente: el polémico fichaje de Rivera, a la Junta de Castilla y León, duró día y medio;https://www.eldiario.es/castilla-y-leon/silvia-clemente-rivera-castilla-leon_1_1657056.html
03/11/2019;politics;3;1.02;Ciudadanos anula la victoria de Silvia Clemente en Castilla y León ante los indicios de pucherazo y proclama candidato a Francisco Igea;https://www.eldiario.es/politica/ciudadanos-primarias-castilla-y-leon-silvia-clemente-pucherazo-francisco-igea_1_1157209.html
03/11/2019; ;-1;1.23;Rivera sufre la primera derrota tras anular la victoria de su fichaje estrella del PP;https://elpais.com/politica/2019/03/11/actualidad/1552301684_149817.html
03/12/2019;politics;3;0.66;Se extiende el miedo a un fraude generalizado en las primarias de Ciudadanos;https://elpais.com/politica/2019/03/12/actualidad/1552421318_676389.html
03/12/2019;politics;3;0.85;El Partido Popular azuza a Igea para que lleve ante los tribunales el pucherazo en las primarias de Cs en Castilla y León;https://www.eldiario.es/castilla-y-leon/el-partido-popular-azuza-a-igea-para-que-lleve-ante-los-tribunales-el-pucherazo-en-las-primarias-de-castilla-y-leon_1_1655397.html
03/12/2019;politics;3;1.06;"Herrera cree que Castilla y León ""está hoy mejor preparada para el futuro"" que hace cuatro años";https://www.eldiario.es/castilla-y-leon/herrera-cree-que-castilla-y-leon-esta-hoy-mejor-preparada-para-el-futuro-que-hace-cuatro-anos_1_1652516.html
03/12/2019;feminism;4;1.09;Igea: “Hay que investigar qué pasó, no podemos mirar hacia otro lado”;https://elpais.com/politica/2019/03/12/actualidad/1552420621_579444.html
03/12/2019; ;-1;1.64;En una burbuja;https://elpais.com/elpais/2019/03/12/opinion/1552415042_751840.html
03/13/2019;feminism;4;0.77;La policía busca a los autores de una brutal paliza a un joven en León;https://elpais.com/politica/2019/03/13/actualidad/1552462880_449790.html
03/13/2019;poor;6;0.90;Castilla y León inicia el trámite para dotar de carrera profesional a 85.000 funcionarios, con dudas de financiación;https://www.eldiario.es/castilla-y-leon/castilla-leon-profesional-funcionarios-financiacion_1_1652025.html
03/13/2019;environment;8;0.96;Castilla y León da el primer paso para “blindar” la caza por ley;https://elpais.com/sociedad/2019/03/13/actualidad/1552482493_886152.html
03/13/2019; ;-1;1.53;Los médicos de cuidados paliativos tendrán reconocida esta categoría en Castilla y León;https://www.eldiario.es/castilla-y-leon/paliativos-reconocida-categoria-castilla-leon_1_1651526.html
03/13/2019;culture;1;1.58;Vecinos de la localidad palentina de Villarramiel reciben misteriosos sobres con 50 euros;https://elpais.com/politica/2019/03/13/diario_de_espana/1552492972_396890.html
03/13/2019; ;-1;3.37;Castilla y León modifica la Ley de Caza para sortear a la Justicia y revertir la suspensión de la actividad;https://www.eldiario.es/castilla-y-leon/castilla-y-leon-modifica-la-ley-de-caza-para-sortear-a-la-justicia-y-revertir-la-suspension-de-la-actividad_1_1655229.html
03/14/2019;poor;6;0.90;Los riojanos somos los que menos faltamos a nuestro puesto de trabajo;https://www.eldiario.es/la-rioja/los-riojanos-somos-los-que-menos-faltamos-a-nuestro-puesto-de-trabajo_1_11130630.html
03/14/2019;culture;1;1.27;Alameda Palace, noche en el corazón de Salamanca;https://elpais.com/elviajero/2019/03/14/actualidad/1552556717_666782.html
03/15/2019;feminism;4;0.66;Silvia Clemente no irá en la lista a la Junta de Castilla y León, estaríamos dando un mensaje equivocado;https://www.eldiario.es/castilla-y-leon/francisco-silvia-clemente-junta-castilla_128_1649673.html
03/15/2019;politics;3;1.00;Tercera dimisión de un cargo de Ciudadanos en Castilla y León tras las irregularidades en las primarias;https://www.eldiario.es/castilla-y-leon/renuncia-coordinadora-ciudadanos-valladolid-irregularidades_1_1649855.html
03/15/2019; ;-1;1.04;"Los estudiantes en Castilla y León piden cambios en el '15M Verde' para garantizar el ""progreso de la naturaleza""";https://www.eldiario.es/castilla-y-leon/estudiantes-castilla-leon-verde-garantizar_1_1651111.html
03/15/2019; ;-1;1.14;El PP plantea para Castilla y León cierta renovación sin Maíllo por Zamora y con la exministra García Tejerina por Valladolid;https://www.eldiario.es/castilla-y-leon/pp-castilla-congreso-tejerina-valladolid_1_1650353.html
03/15/2019; ;-1;4.51;IU pedirá a las Cortes que Castilla y León acoja temporalmente a defensores de derechos humanos perseguidos;https://www.eldiario.es/castilla-y-leon/iu-cortes-castilla-leon-temporalmente_1_1650063.html
03/16/2019;feminism;4;0.57;“Lo más importante es empoderar a las mujeres del pueblo”;https://elpais.com/sociedad/2019/03/16/actualidad/1552761177_116342.html
03/16/2019;politics;3;0.91;El pucherazo de Castilla y León atenaza a Ciudadanos que afronta su primera gran crisis a mes y medio de las generales;https://www.eldiario.es/politica/ciudadanos-crisis-primarias-pucherazo-campana-elecciones-generales-2019_1_1651317.html
03/16/2019;culture;1;1.09;Mañueco propone un plan para atraer 7 millones de turistas internacionales a Castilla y León;https://www.eldiario.es/castilla-y-leon/manueco-estrategico-internacionales-castilla-leon_1_1647225.html
